validatorAddress,q1,q3,median,min,max,avg,totalCount,q1_7,q3_7,median_7,min_7,max_7,avg_7,totalCount_7,q1_30,q3_30,median_30,min_30,max_30,avg_30,totalCount_30,q1_90,q3_90,median_90,min_90,max_90,avg_90,totalCount_90
osmovaloper1z5xyynz9ewuf044uaweswldut34z34z3cwpt7y,977,1102,1030,806,4084,1184.1638249217685,49852,895,1063,972,791,4798,1198.3761822042077,5181,911,1063,991,793,4695,1167.4046972219787,22822,977,1102,1030,806,4084,1184.1638249217685,49852
osmovaloper1zqevmn000unnjj709akc8p86f9jc4xevf8f8g3,977,1104,1031,806,4079,1188.1560881974087,39593,889.5,1063.5,971,789,4800,1203.6797793235787,4169,905,1065,990,791,4669,1165.9765381185912,17944,977,1104,1031,806,4079,1188.1560881974087,39593
osmovaloper1pxphtfhqnx9ny27d53z4052e3r76e7qq495ehm,992,1115,1043,808,4162,1194.4544980783012,30702,893,1063,978.5,790,4854,1190.2773212818406,2434,907,1065,991,790,4770,1165.7064744024,10333,992,1115,1043,808,4162,1194.4544980783012,30702
osmovaloper1t48236ajss9wswamwll4nj7up2gqdns52gvyaa,987,1111,1039,809,4122,1191.1776813546578,63839,893,1063,975,789,4823,1193.3196943972835,5890,908,1062,989,791,4721,1168.125165562914,24160,987,1111,1039,809,4122,1191.1776813546578,63839
osmovaloper1j0vaeh27t4rll7zhmarwcuq8xtrmvqhu6m87mz,997,1126,1050,807,4047,1204.363998809878,16805,886.5,1057,969,785,4783,1179.9282407407406,2160,901,1070,990,790,4702,1174.749281092739,5564,997,1126,1050,807,4047,1204.363998809878,16805
osmovaloper16n0t7lmy4wnhjytzkncjdkxrsu9yfjm3ex7hxr,985,1112,1039,808,4078,1193.4800712231201,65709,892,1064,971,789,4808,1199.0618394068465,6339,906,1065,989,792,4720,1175.6910903378457,25781,985,1112,1039,808,4078,1193.4800712231201,65709
osmovaloper135p8cjwa3hnnnksjxchda0a6339z9zm7cudyxn,982,1106,1036,805,4182,1183.6865523111169,38185,891.5,1058,971,787,4843,1208.8221116059733,3817,906,1059,988,791,4746,1160.8509067769646,15715,982,1106,1036,805,4182,1183.6865523111169,38185
osmovaloper14n8pf9uxhuyxqnqryvjdr8g68na98wn5amq3e5,994,1110,1043,815,4148,1192.2255494143967,151980,894,1060,973,786,4737,1189.736707867373,10194,912,1059,989,793,4676,1161.4865411644448,46958,994,1110,1043,815,4148,1192.2255494143967,151980
osmovaloper144xwxcrlntp4wjadhrylzc6p3vdzscye6t3f76,981,1106,1034,809,4099,1189.504926726708,63734,894,1064,974,789,4758,1196.4580100017245,5799,911,1062,990,793,4729,1174.5277350635713,26663,981,1106,1034,809,4099,1189.504926726708,63734
osmovaloper1prmsfrgvla0u8x3kwc8k0mcqqve3h8y73d37nm,989,1113,1042,810,4161,1192.3054328958187,65674,892,1051,970,788,4762,1170.8662528216705,5316,906,1062,988,791,4773,1164.4499696523021,23066,989,1113,1042,810,4161,1192.3054328958187,65674
